"Gene","logFC","adj.P.Val"
"ampC",5.74551713692008,1.93382932882986e-42
"PA0638",-2.46365422811049,9.21422849242518e-30
"PA0629",-2.55419534414548,1.31087319924702e-29
"PA0628",-2.5346184731228,1.44746252465156e-28
"magD",1.32074077674376,2.99667015044224e-27
"PA0641",-2.55322991928529,1.32676271068635e-24
"PA0627",-2.5638351455181,6.22943189793209e-24
"PA0616",-2.22205059889571,7.73857614159181e-23
"PA4111",3.14168729278076,1.27088623467576e-22
"PA0614",-1.98452661043616,2.62829484872945e-22
"PA0639",-2.28622070297812,2.85380235549514e-22
"PA0635",-2.41587231223282,6.47172484790555e-20
"PA0636",-2.44446882517831,1.0213368218408e-19
"PA0637",-2.23149953467586,3.72585083598287e-19
"PA0625",-2.21392455305837,6.71428067905485e-19
"PA0619",-2.06340941787489,7.79506541986691e-19
"PA0630",-2.31101635864708,8.50655746828204e-19
"PA0631",-2.19531750426013,6.53932719230474e-18
"PA1069",1.41766692794752,6.80068113927319e-18
"hcp1",2.2995853014562,2.628274007812e-17
"PA0640",-2.06955583854672,3.42215507220869e-17
"PA3021",1.18748397706991,1.17343971312639e-16
"PA4326",-0.954171391505196,1.17343971312639e-16
"PA0634",-2.27232074746405,2.06191146444023e-16
"tsi2",1.15609067976594,6.03196854859645e-16
"PA0618",-2.14307696607867,7.77831074230091e-16
"PA0613",-2.18789182065248,8.36900045660316e-16
"magF",1.11996141027682,9.69822172067956e-16
"PA0626",-2.01924508412562,9.77152223387354e-16
"PA4633",-0.915597562156403,7.18268649499329e-15
"PA2536",1.00529976330056,7.81117763671025e-15
"ptrB",-2.20404739907645,1.05704746782371e-14
"PA0643",-1.88813439626343,3.76737208361753e-14
"PA0617",-1.8189034956677,4.82684029723701e-14
"tsi1",1.39474373479572,1.99628554252896e-13
"murD",0.736321290895254,2.95501557564718e-13
"PA5469",-1.6325425942629,4.67254570700518e-13
"PA0615",-1.8811703898123,5.1160061999007e-13
"PA0126",2.01027771335844,6.76242209472146e-13
"PA0620",-1.5512637364835,1.33700190170462e-12
"PA0633",-1.69923697326318,1.37846589864826e-12
"ftsA",0.949178220938887,5.37060648213448e-12
"gfnR",-2.3535030065513,8.56631204203842e-12
"PA0624",-1.91838345099738,1.1624791601318e-11
"pctB",-0.783118363005559,1.36603431925152e-11
"PA0622",-1.39025834166153,3.96352213314104e-11
"ddlB",0.691260540984873,4.60554473598795e-11
"PA3631",-2.1116729948207,4.63215136134141e-11
"PA5468",-1.25856738211698,5.32145669209531e-11
"PA2540",1.22667375124358,8.48284647384789e-11
"PA3317",0.894741359253186,1.02275520442111e-10
"PA1241",-0.596051985107987,1.16310070959459e-10
"pchB",1.07143602189755,1.29946541040346e-10
"pys2",-1.23792516631481,1.95991704240654e-10
"tse1",1.2946002968546,3.13469883461194e-10
"PA2537",0.88973918794556,5.14214548657711e-10
"agtD",-1.36816323889167,7.07738261752191e-10
"PA2225",1.32320645609013,1.18466261006644e-09
"murC",0.706128662840779,1.75379698804941e-09
"PA0277",1.7063975214461,2.06251924671669e-09
"queA",-1.12882039968763,3.31367265184176e-09
"PA0671",-1.61745787895647,3.44796584095989e-09
"PA2539",1.15987588134237,4.12584226321555e-09
"PA3638",-2.28547963597878,4.14105680107011e-09
"ftsQ",0.794401403799144,4.29794456455671e-09
"PA2653",-1.93097911871782,4.81894299572234e-09
"qsrO",1.3011484512833,1.12655324827867e-08
"mutS",-1.71822428109081,1.19133520377993e-08
"tse2",0.945151461939346,1.40704945493109e-08
"PA0608",-0.761981472163768,1.80009494672944e-08
"armZ",-1.41241073485273,2.3506012846834e-08
"PA3632",-1.69065742789833,2.70281711833618e-08
"alpB",-1.87532278593763,3.14549086645463e-08
"magE",1.05960343163756,4.4064545576853e-08
"magC",0.98713510501966,4.65076592301598e-08
"ygbP",-1.66054168748197,8.24471262261253e-08
"PA1006",-0.544182725405922,9.03488152348269e-08
"PA2289",0.777979490035298,1.33770237225862e-07
"magB",0.926466699518192,1.47058588208103e-07
"PA5466",-1.18225301511611,1.71695176259907e-07
"prtR",-1.14196367666636,1.80239945251684e-07
"PA0623",-1.38059381229059,1.95539515975443e-07
"PA1169",-1.49616840106504,2.41311280431759e-07
"prtN",-1.48694065617395,2.78349160191391e-07
"PA0669",-1.30328028563322,2.78349160191391e-07
"PA4514",0.938916142450866,2.78349160191391e-07
"PA5470",-1.45475978069988,2.88683908360362e-07
"clpV1",1.83248571944492,3.64175272981796e-07
"PA4140",-1.05056799822278,3.64175272981796e-07
"PA1536",-0.789602079319299,4.02042651641177e-07
"vqsM",1.21055819010134,4.88531604941278e-07
